match_id,batter,runs,balls_faced,got_out,strike_rate,avg_runs_last_5,batting_team,bowling_team,inning,target_runs
1082617,AB de Villiers,8,6,1,133.33333333333331,30.0,Royal Challengers Bangalore,Kolkata Knight Riders,2,5.0
1082621,AB de Villiers,5,12,0,41.66666666666667,30.0,Royal Challengers Bangalore,Gujarat Lions,1,3.0
1082624,AB de Villiers,3,8,1,37.5,12.8,Royal Challengers Bangalore,Rising Pune Supergiant,2,43.0
1082628,AB de Villiers,43,28,1,153.57142857142858,17.6,Royal Challengers Bangalore,Mumbai Indians,1,10.0
1082633,AB de Villiers,10,6,1,166.66666666666669,13.8,Royal Challengers Bangalore,Kings XI Punjab,2,10.0
1082636,AB de Villiers,10,8,1,125.0,14.2,Royal Challengers Bangalore,Kolkata Knight Riders,1,44.0
1136563,AB de Villiers,44,23,1,191.30434782608697,22.0,Royal Challengers Bangalore,Kolkata Knight Riders,1,57.0
1136568,AB de Villiers,57,40,1,142.5,32.8,Royal Challengers Bangalore,Kings XI Punjab,2,20.0
1136571,AB de Villiers,20,18,1,111.11111111111111,28.2,Royal Challengers Bangalore,Rajasthan Royals,2,1.0
1136574,AB de Villiers,1,2,1,50.0,26.4,Royal Challengers Bangalore,Mumbai Indians,2,90.0
1136579,AB de Villiers,90,40,0,225.0,42.4,Royal Challengers Bangalore,Delhi Daredevils,2,68.0
1136584,AB de Villiers,68,31,1,219.3548387096774,47.2,Royal Challengers Bangalore,Chennai Super Kings,1,1.0
1136595,AB de Villiers,1,4,1,25.0,36.0,Royal Challengers Bangalore,Chennai Super Kings,1,5.0
1136599,AB de Villiers,5,9,1,55.55555555555556,33.0,Royal Challengers Bangalore,Sunrisers Hyderabad,2,72.0
1136605,AB de Villiers,72,37,0,194.5945945945946,47.2,Royal Challengers Bangalore,Delhi Daredevils,2,69.0
1136611,AB de Villiers,69,41,1,168.29268292682926,43.0,Royal Challengers Bangalore,Sunrisers Hyderabad,1,53.0
1136613,AB de Villiers,53,35,1,151.42857142857142,40.0,Royal Challengers Bangalore,Rajasthan Royals,2,9.0
1175356,AB de Villiers,9,10,1,90.0,41.6,Royal Challengers Bangalore,Chennai Super Kings,1,70.0
1175362,AB de Villiers,70,42,0,166.66666666666669,54.6,Royal Challengers Bangalore,Mumbai Indians,2,1.0
1175366,AB de Villiers,1,2,1,50.0,40.4,Royal Challengers Bangalore,Sunrisers Hyderabad,2,13.0
1175369,AB de Villiers,13,9,1,144.44444444444443,29.2,Royal Challengers Bangalore,Rajasthan Royals,1,63.0
1175372,AB de Villiers,63,34,1,185.29411764705884,31.2,Royal Challengers Bangalore,Kolkata Knight Riders,1,17.0
1178395,AB de Villiers,17,17,1,100.0,32.8,Royal Challengers Bangalore,Delhi Capitals,1,59.0
1178403,AB de Villiers,59,38,0,155.26315789473685,30.6,Royal Challengers Bangalore,Kings XI Punjab,2,75.0
1178406,AB de Villiers,75,51,1,147.05882352941177,45.4,Royal Challengers Bangalore,Mumbai Indians,1,25.0
1178414,AB de Villiers,25,20,1,125.0,47.8,Royal Challengers Bangalore,Chennai Super Kings,1,82.0
1178417,AB de Villiers,82,46,0,178.26086956521738,51.6,Royal Challengers Bangalore,Kings XI Punjab,1,17.0
1178421,AB de Villiers,17,19,1,89.47368421052632,51.6,Royal Challengers Bangalore,Delhi Capitals,2,10.0
1178424,AB de Villiers,10,4,1,250.0,41.8,Royal Challengers Bangalore,Rajasthan Royals,1,1.0
1178429,AB de Villiers,1,2,1,50.0,27.0,Royal Challengers Bangalore,Sunrisers Hyderabad,2,15.0
1216499,AB de Villiers,15,12,1,125.0,25.0,Royal Challengers Bangalore,Mumbai Indians,1,24.0
1216502,AB de Villiers,24,25,1,96.0,13.4,Royal Challengers Bangalore,Sunrisers Hyderabad,1,35.0
1216505,AB de Villiers,35,21,1,166.66666666666669,17.0,Royal Challengers Bangalore,Delhi Capitals,1,28.0
1216510,AB de Villiers,28,20,1,140.0,20.6,Royal Challengers Bangalore,Kings XI Punjab,2,12.0
1216514,AB de Villiers,12,10,0,120.0,22.8,Royal Challengers Bangalore,Rajasthan Royals,2,9.0
1216519,AB de Villiers,9,6,1,150.0,21.6,Royal Challengers Bangalore,Delhi Capitals,2,55.0
1216522,AB de Villiers,55,23,0,239.1304347826087,27.8,Royal Challengers Bangalore,Rajasthan Royals,2,0.0
1216525,AB de Villiers,0,2,1,0.0,20.8,Royal Challengers Bangalore,Chennai Super Kings,1,2.0
1216531,AB de Villiers,2,5,1,40.0,15.6,Royal Challengers Bangalore,Kings XI Punjab,1,51.0
1216534,AB de Villiers,51,30,1,170.0,23.4,Royal Challengers Bangalore,Sunrisers Hyderabad,1,73.0
1216540,AB de Villiers,73,34,0,214.70588235294116,36.2,Royal Challengers Bangalore,Kolkata Knight Riders,1,39.0
1216544,AB de Villiers,39,36,1,108.33333333333333,33.0,Royal Challengers Bangalore,Chennai Super Kings,1,61.0
1216547,AB de Villiers,61,28,0,217.85714285714283,45.2,Royal Challengers Bangalore,Mumbai Indians,1,56.0
1237178,AB de Villiers,56,44,1,127.27272727272727,56.0,Royal Challengers Bangalore,Sunrisers Hyderabad,1,48.0
1254058,AB de Villiers,48,27,1,177.77777777777777,55.4,Royal Challengers Bangalore,Mumbai Indians,2,1.0
1254063,AB de Villiers,1,5,1,20.0,41.0,Royal Challengers Bangalore,Sunrisers Hyderabad,1,76.0
1254067,AB de Villiers,76,36,0,211.11111111111111,48.4,Royal Challengers Bangalore,Kolkata Knight Riders,1,4.0
1254076,AB de Villiers,4,9,1,44.44444444444444,37.0,Royal Challengers Bangalore,Chennai Super Kings,2,75.0
1254079,AB de Villiers,75,43,0,174.41860465116278,40.8,Royal Challengers Bangalore,Delhi Capitals,1,3.0
1254083,AB de Villiers,3,9,1,33.33333333333333,31.8,Royal Challengers Bangalore,Punjab Kings,2,0.0
1254087,AB de Villiers,0,1,1,0.0,31.6,Royal Challengers Bangalore,Kolkata Knight Riders,1,23.0
1254090,AB de Villiers,23,18,1,127.77777777777777,21.0,Royal Challengers Bangalore,Punjab Kings,1,19.0
1254095,AB de Villiers,19,13,0,146.15384615384613,24.0,Royal Challengers Bangalore,Sunrisers Hyderabad,2,26.0
1254101,AB de Villiers,26,26,1,100.0,14.2,Royal Challengers Bangalore,Delhi Capitals,2,4.0
1254103,AB de Villiers,4,1,0,400.0,14.4,Royal Challengers Bangalore,Rajasthan Royals,2,11.0
